cst_cnt,btl_cnt,line,station,date,depth_m,T_degC,salinity,O2_mL_L,Sigma_Theta,O2_sat,O_mmol_kg
29402,730378,76.7,55,2000-01-23,30,11.88,33.65,4.83,25.564,78.9,210.3309
29402,730379,76.7,55,2000-01-23,40,11.42,33.678,4.28,25.672,69.3,186.3606
29402,730380,76.7,55,2000-01-23,50,10.76,33.763,3.35,25.856,53.5,145.8401
29402,730381,76.7,55,2000-01-23,59,10.27,33.829,3.05,25.993,48.2,132.7621
29402,730382,76.7,55,2000-01-23,70,10.06,33.866,2.89,26.058,45.5,125.7896
29402,730383,76.7,55,2000-01-23,75,9.9,33.888,2.8,26.102,43.9,121.867
29402,730384,76.7,55,2000-01-23,84,9.61,33.925,2.66,26.18,41.4,115.7649
29402,730385,76.7,55,2000-01-23,98,9.42,33.954,2.54,26.234,39.4,110.5366
29402,730386,76.7,55,2000-01-23,100,9.41,33.956,2.53,26.237,39.3,110.1011
29402,730387,76.7,55,2000-01-23,119,9.36,33.974,2.48,26.259,38.4,107.9229
29403,730409,76.7,51,2000-01-23,30,12.73,33.597,5.59,25.361,93,243.4746
29403,730410,76.7,51,2000-01-23,31,12.71,33.599,5.56,25.366,92.4,242.1668
29403,730411,76.7,51,2000-01-23,41,12.29,33.628,5.05,25.47,83.2,219.9314
29403,730412,76.7,51,2000-01-23,50,12.12,33.628,4.83,25.503,79.3,210.3434
29403,730413,76.7,51,2000-01-23,51,12.08,33.628,4.79,25.51,78.6,208.6
29403,730414,76.7,51,2000-01-23,61,11.01,33.723,3.61,25.781,57.9,157.1706
29403,730415,76.7,51,2000-01-23,71,10.74,33.762,3.41,25.86,54.4,148.4516
29403,730416,76.7,51,2000-01-23,75,10.63,33.777,3.33,25.891,53,144.9645
29403,730417,76.7,51,2000-01-23,87,10.31,33.821,3.09,25.981,48.9,134.5048
29403,730418,76.7,51,2000-01-23,99,10.02,33.87,2.91,26.068,45.7,126.6589
29403,730419,76.7,51,2000-01-23,100,9.99,33.874,2.89,26.077,45.4,125.7873
29404,730434,76.7,49,2000-01-23,21,11.95,33.642,4.52,25.545,74,196.8351
29404,730435,76.7,49,2000-01-23,29,11.69,33.667,4.25,25.613,69.2,185.0649
29404,730436,76.7,49,2000-01-23,30,11.68,33.667,4.24,25.615,69,184.6291
29404,730437,76.7,49,2000-01-23,40,11.61,33.673,4.18,25.633,67.9,182.0132
29404,730438,76.7,49,2000-01-23,50,11.56,33.676,4.17,25.645,67.7,181.5757
29404,730439,76.7,49,2000-01-23,61,11.48,33.679,4.13,25.662,66.9,179.831
29468,732331,76.7,55,2000-04-22,30,11.47,33.583,5.17,25.588,83.7,225.1315
29468,732332,76.7,55,2000-04-22,41,11.15,33.634,4.76,25.686,76.6,207.258
29468,732333,76.7,55,2000-04-22,50,10.77,33.69,4.43,25.798,70.7,192.8682
29468,732334,76.7,55,2000-04-22,60,10.43,33.73,4,25.889,63.4,174.1319
29468,732335,76.7,55,2000-04-22,70,10.07,33.755,3.56,25.97,56,154.9651
29468,732336,76.7,55,2000-04-22,75,9.94,33.774,3.4,26.007,53.3,147.9951
29468,732337,76.7,55,2000-04-22,85,9.78,33.81,3.17,26.062,49.5,137.9763
29468,732338,76.7,55,2000-04-22,100,9.72,33.83,3.07,26.088,47.9,133.6203
29469,732364,76.7,51,2000-04-22,27,11.61,33.675,5.62,25.634,91.3,244.7161
29469,732365,76.7,51,2000-04-22,30,11.02,33.689,4.86,25.752,78,211.5985
29469,732366,76.7,51,2000-04-22,34,10.28,33.725,3.91,25.91,61.8,170.2104
29469,732367,76.7,51,2000-04-22,40,10.18,33.802,3.72,25.987,58.7,161.9272
29469,732368,76.7,51,2000-04-22,50,9.96,33.868,3.39,26.076,53.2,147.5499
29469,732369,76.7,51,2000-04-22,60,9.82,33.902,3.15,26.126,49.3,137.0972
29469,732370,76.7,51,2000-04-22,70,9.66,33.923,2.9,26.169,45.2,126.2112
29469,732371,76.7,51,2000-04-22,75,9.52,33.942,2.67,26.208,41.5,116.1969
29469,732372,76.7,51,2000-04-22,85,9.27,33.979,2.26,26.277,35,98.34733
29469,732373,76.7,51,2000-04-22,98,9.19,33.99,2.17,26.299,33.5,94.42882
29469,732374,76.7,51,2000-04-22,100,9.17,33.993,2.15,26.305,33.2,93.55796
29469,732375,76.7,51,2000-04-22,119,8.93,34.027,1.93,26.37,29.6,83.97926
29470,732389,76.7,49,2000-04-22,21,10.33,33.831,3.87,25.984,61.2,168.457
29470,732390,76.7,49,2000-04-22,30,10.29,33.842,3.77,25.999,59.6,164.1017
29470,732391,76.7,49,2000-04-22,41,10.23,33.85,3.7,26.016,58.4,161.0521
29470,732392,76.7,49,2000-04-22,49,10.18,33.855,3.6,26.029,56.8,156.6973
29470,732393,76.7,49,2000-04-22,50,10.17,33.856,3.58,26.031,56.5,155.8265
29470,732394,76.7,49,2000-04-22,57,10.13,33.866,3.46,26.046,54.5,150.601
29534,734261,76.7,55,2000-07-13,30,14.38,33.678,5.97,25.088,102.8,260.0949
29534,734262,76.7,55,2000-07-13,40,13.56,33.673,5.73,25.254,97,249.5984
29534,734263,76.7,55,2000-07-13,50,12.06,33.693,4.82,25.564,79.1,209.8954
29534,734264,76.7,55,2000-07-13,60,11.53,33.747,4,25.705,64.9,174.1631
29534,734265,76.7,55,2000-07-13,69,10.82,33.807,3.42,25.88,54.7,148.8841
29534,734266,76.7,55,2000-07-13,75,10.39,33.841,3.15,25.982,49.9,137.1164
29534,734267,76.7,55,2000-07-13,84,9.85,33.881,2.89,26.105,45.3,125.7838
29534,734268,76.7,55,2000-07-13,99,9.38,33.914,2.72,26.209,42.2,118.3728
29534,734269,76.7,55,2000-07-13,100,9.35,33.917,2.71,26.216,42,117.9368
29534,734270,76.7,55,2000-07-13,119,8.91,33.973,2.53,26.33,38.8,110.0911
29535,734291,76.7,51,2000-07-13,30,12.18,33.658,4.39,25.514,72.2,191.1796
29535,734292,76.7,51,2000-07-13,40,11.17,33.679,3.86,25.718,62.1,168.0653
29535,734293,76.7,51,2000-07-13,50,10.74,33.678,3.7,25.794,59,161.08690000000001
29535,734294,76.7,51,2000-07-13,60,10.42,33.732,3.49,25.892,55.3,151.9296
29535,734295,76.7,51,2000-07-13,70,10.18,33.827,2.88,26.007,45.4,125.3605
29535,734296,76.7,51,2000-07-13,75,9.97,33.868,2.74,26.075,43,119.2587
29535,734297,76.7,51,2000-07-13,85,9.56,33.93,2.62,26.192,40.8,114.0227
29535,734298,76.7,51,2000-07-13,100,9.4,33.96,2.48,26.242,38.5,107.9246
29535,734299,76.7,51,2000-07-13,119,9.32,33.977,2.43,26.268,37.6,105.7461
29536,734312,76.7,49,2000-07-13,21,12.75,33.722,5.34,25.453,88.9,232.5649
29536,734313,76.7,49,2000-07-13,30,12.62,33.73,5.11,25.485,84.9,222.5411
29536,734314,76.7,49,2000-07-13,40,11.83,33.759,4.21,25.659,68.8,183.3149
29536,734315,76.7,49,2000-07-13,50,11.3,33.793,3.54,25.783,57.2,154.1227
29536,734316,76.7,49,2000-07-13,61,10.97,33.805,3.19,25.852,51.2,138.8752
29600,736198,76.7,55,2000-10-29,30,11.41,33.55,4.44,25.574,71.8,193.3458
